Transaction Date,Supplier Title,Supplier Category,Project Title,Currency Title,Type Title,Godown Title,Category Title,Class Title,Brand Title,Item Title,Unit Title,Item Description,Quantity,Rate,Gross Amount,SalesTax Amount,Net Amount
6/8/2020,Atif Riaz (Rafhan Corn Starch),RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch rafhan 034010,kg,rafhan starch 50 bags@ ,2500.0,93.02,232537.5,0.0,232537.5
6/8/2020,Atif Riaz (Rafhan Corn Starch),RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch rafhan 034010,kg,rafhan starch 25 bags@ ,2500.0,93.02,232537.5,0.0,232537.5
6/9/2020,Speciality Printers,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,filmFlexiblePackaging,soup & ckp,packing material,chicken powder 100gm roll (new),kg,chicken powder 100gm roll 538.79kg,538.79,490.0,264007.1,44881.21,308888.31
6/9/2020,Speciality Printers,PACKING MATERIAL,None,PAK Rupee,cracker,Factory Warehouse,filmFlexiblePackaging,cracker,packing material,cracker 100gm roll (new),kg,cracker 100gm roll 72 pcs1021.58kg,1021.58,480.0,490358.4,83360.93,573719.33
6/9/2020,Speciality Printers,PACKING MATERIAL,None,PAK Rupee,breadcrumb,Factory Warehouse,filmFlexiblePackaging,breadcrumb,packing material,Bread crumbs 200gm roll,kg,bread crumbs 200gm roll 810.86kg,810.86,460.0,372995.6,63409.25,436404.85
6/9/2020,S.K Plastic,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,bag,soup & ckp,packing material,26x32 inches transparent ldpe..liner for 25kgbag ,kg,ldpe bags 22x32 blue color 558.800kg,558.8,285.0,159258.0,0.0,159258.0
6/9/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,stearic acid,Factory Warehouse,foodChem,cakegel,raw material,Stearic Acid,kg,stearic acid 05 ctn,125.0,350.0,43750.0,0.0,43750.0
6/9/2020,F&A International,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,cartons,soup & ckp,packing material,Funchies MC2 Carton (dimension 20.5/8 x 16.5/8 x 14.75 inch),pcs,funchies mc2 ctn 1550pcs,1550.0,99.5,154225.0,26218.25,180443.25
6/10/2020,Speciality Printers,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,filmFlexiblePackaging,soup & ckp,packing material,chicken powder 100gm roll (new),kg,cp 100 gm roll 488.32 kg 42 rolls,488.32,490.0,239276.8,40677.06,279953.86
6/10/2020,ANAS TRADERS JODIA,RAW MATERIAL,None,PAK Rupee,powderGarlic,Factory Warehouse,vegetable powder,seasoning,raw material,Garlic Powder Local,kg,garlic powder 10 kg,10.0,990.0,9900.0,0.0,9900.0
